original_gene_id	renamed_gene_id
mRNA_L-elsbetiae_contig10.16.1	c_organisms_00185
prot_L-elsbetiae_contig10.16.1	c_organisms_00186
mRNA_L-elsbetiae_contig10.17.1	c_organisms_00187
prot_L-elsbetiae_contig10.17.1	c_organisms_00188
mRNA_L-elsbetiae_contig10.18.1	c_organisms_00189
prot_L-elsbetiae_contig10.18.1	c_organisms_00190
mRNA_L-elsbetiae_contig10.19.1	c_organisms_00191
prot_L-elsbetiae_contig10.19.1	c_organisms_00192
mRNA_L-elsbetiae_contig10.20.1	c_organisms_00193
prot_L-elsbetiae_contig10.20.1	c_organisms_00194
mRNA_L-elsbetiae_contig10.21.1	c_organisms_00195
prot_L-elsbetiae_contig10.21.1	c_organisms_00196
mRNA_L-elsbetiae_contig10.22.1	c_organisms_00197
prot_L-elsbetiae_contig10.22.1	c_organisms_00198
mRNA_L-elsbetiae_contig10.23.1	c_organisms_00199
prot_L-elsbetiae_contig10.23.1	c_organisms_00200
mRNA_L-elsbetiae_contig10.24.1	c_organisms_00201
prot_L-elsbetiae_contig10.24.1	c_organisms_00202
mRNA_L-elsbetiae_contig10.25.1	c_organisms_00203
prot_L-elsbetiae_contig10.25.1	c_organisms_00204
mRNA_L-elsbetiae_contig10.26.1	c_organisms_00205
prot_L-elsbetiae_contig10.26.1	c_organisms_00206
mRNA_L-elsbetiae_contig10.27.1	c_organisms_00207
prot_L-elsbetiae_contig10.27.1	c_organisms_00208
mRNA_L-elsbetiae_contig10.28.1	c_organisms_00209
prot_L-elsbetiae_contig10.28.1	c_organisms_00210
mRNA_L-elsbetiae_contig10.29.1	c_organisms_00211
prot_L-elsbetiae_contig10.29.1	c_organisms_00212
mRNA_L-elsbetiae_contig10.30.1	c_organisms_00213
prot_L-elsbetiae_contig10.30.1	c_organisms_00214
mRNA_L-elsbetiae_contig10.31.1	c_organisms_00215
prot_L-elsbetiae_contig10.31.1	c_organisms_00216
mRNA_L-elsbetiae_contig10.32.1	c_organisms_00217
prot_L-elsbetiae_contig10.32.1	c_organisms_00218
mRNA_L-elsbetiae_contig10.33.1	c_organisms_00219
prot_L-elsbetiae_contig10.33.1	c_organisms_00220
mRNA_L-elsbetiae_contig10.34.1	c_organisms_00221
prot_L-elsbetiae_contig10.34.1	c_organisms_00222
mRNA_L-elsbetiae_contig10.35.1	c_organisms_00223
prot_L-elsbetiae_contig10.35.1	c_organisms_00224
mRNA_L-elsbetiae_contig10.36.1	c_organisms_00225
prot_L-elsbetiae_contig10.36.1	c_organisms_00226
mRNA_L-elsbetiae_contig10.37.1	c_organisms_00227
prot_L-elsbetiae_contig10.37.1	c_organisms_00228
mRNA_L-elsbetiae_contig10.38.1	c_organisms_00229
prot_L-elsbetiae_contig10.38.1	c_organisms_00230
mRNA_L-elsbetiae_contig10.39.1	c_organisms_00231
prot_L-elsbetiae_contig10.39.1	c_organisms_00232
mRNA_L-elsbetiae_contig10.40.1	c_organisms_00233
prot_L-elsbetiae_contig10.40.1	c_organisms_00234
mRNA_L-elsbetiae_contig10.41.1	c_organisms_00235
prot_L-elsbetiae_contig10.41.1	c_organisms_00236
