pathway	Desmarestia_herbacea_m_completion_rate	Myriotrichia_clavaeformis_FEMALE_completion_rate	Undaria_pinnatifida_Kr2015_completion_rate	Ectocarpus_siliculosus_m_completion_rate	Ectocarpus_fasciculatus_m_completion_rate	Macrocystis_pyrifera_MALE_completion_rate	Cladosiphon_okamuranus_completion_rate	Dictyota_dichotoma_m_completion_rate	Ectocarpus_species7_completion_rate	Himanthalia_elongata_completion_rate	Hapterophycus_canaliculatus_FEMALE_completion_rate	Ectocarpus_crouaniorum_m_completion_rate	Heribaudiella_fluviatilis_completion_rate	Saccorhiza_polyschides_MALE_completion_rate	Feldmannia_mitchelliae_completion_rate	Saccharina_latissima_FEMALE_completion_rate	Saccharina_japonica_completion_rate	Fragilariopsis_cylindrus_completion_rate	Phaeodactylum_tricornutum_completion_rate	Nemacystus_decipiens_completion_rate	Porterinema_fluviatile_completion_rate	Ectocarpus_subulatus_completion_rate	Nannochloropsis_gaditana_completion_rate	Thalassiosira_pseudonana_completion_rate	Fucus_serratus_MALE_completion_rate	Pelvetia_canaliculata_completion_rate	Scytosiphon_promiscuus_MALE_completion_rate	Fucus_distichus_completion_rate	Schizocladia_ischiensis_completion_rate	Laminarionema_elsbetiae_completion_rate	Desmarestia_dudresnayi_completion_rate	Saccorhiza_dermatodea_completion_rate	Chordaria_linearis_completion_rate	Pleurocladia_lacustris_completion_rate	Fistulifera_solaris_completion_rate	Desmarestia_herbacea_m_rxn_assoc (sep=;)	Myriotrichia_clavaeformis_FEMALE_rxn_assoc (sep=;)	Undaria_pinnatifida_Kr2015_rxn_assoc (sep=;)	Ectocarpus_siliculosus_m_rxn_assoc (sep=;)	Ectocarpus_fasciculatus_m_rxn_assoc (sep=;)	Macrocystis_pyrifera_MALE_rxn_assoc (sep=;)	Cladosiphon_okamuranus_rxn_assoc (sep=;)	Dictyota_dichotoma_m_rxn_assoc (sep=;)	Ectocarpus_species7_rxn_assoc (sep=;)	Himanthalia_elongata_rxn_assoc (sep=;)	Hapterophycus_canaliculatus_FEMALE_rxn_assoc (sep=;)	Ectocarpus_crouaniorum_m_rxn_assoc (sep=;)	Heribaudiella_fluviatilis_rxn_assoc (sep=;)	Saccorhiza_polyschides_MALE_rxn_assoc (sep=;)	Feldmannia_mitchelliae_rxn_assoc (sep=;)	Saccharina_latissima_FEMALE_rxn_assoc (sep=;)	Saccharina_japonica_rxn_assoc (sep=;)	Fragilariopsis_cylindrus_rxn_assoc (sep=;)	Phaeodactylum_tricornutum_rxn_assoc (sep=;)	Nemacystus_decipiens_rxn_assoc (sep=;)	Porterinema_fluviatile_rxn_assoc (sep=;)	Ectocarpus_subulatus_rxn_assoc (sep=;)	Nannochloropsis_gaditana_rxn_assoc (sep=;)	Thalassiosira_pseudonana_rxn_assoc (sep=;)	Fucus_serratus_MALE_rxn_assoc (sep=;)	Pelvetia_canaliculata_rxn_assoc (sep=;)	Scytosiphon_promiscuus_MALE_rxn_assoc (sep=;)	Fucus_distichus_rxn_assoc (sep=;)	Schizocladia_ischiensis_rxn_assoc (sep=;)	Laminarionema_elsbetiae_rxn_assoc (sep=;)	Desmarestia_dudresnayi_rxn_assoc (sep=;)	Saccorhiza_dermatodea_rxn_assoc (sep=;)	Chordaria_linearis_rxn_assoc (sep=;)	Pleurocladia_lacustris_rxn_assoc (sep=;)	Fistulifera_solaris_rxn_assoc (sep=;)
PWY0-1334	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2		1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN		NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN
METHIONINE-DEG1-PWY	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	1/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	1/3	1/3	2/3	2/3	2/3	1/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN	S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN	ADENOSYLHOMOCYSTEINASE-RXN;S-ADENMETSYN-RXN
PWY-6164	2/2	2/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN	DAHPSYN-RXN;3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-5670	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	1/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3			2/3	3/3	3/3	2/3		3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	2/3	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN			RXN66-281;RXN-12263	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263		RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263;SQUALENE-MONOOXYGENASE-RXN	RXN66-281;RXN-12263
PWY-7666	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3		1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3				1/3	1/3	1/3		1/3	2/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225		RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225				RXN-1225	RXN-1225	RXN-1225		RXN-1225	RXN-16648;RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225	RXN-1225
PWY-6367	2/4	2/4	2/4	2/4	2/4	3/4	2/4	2/4	1/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4				2/4	2/4		1/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	2.7.1.149-RXN;RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN				RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN		3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN
PWY-6537	1/2	2/2	2/2	1/2	1/2	1/2	1/2	1/2		2/2	2/2	1/2	2/2	1/2	1/2	1/2	2/2	1/2		1/2	2/2	1/2			2/2	2/2	2/2	1/2	1/2	1/2	2/2	1/2	1/2	1/2	1/2	SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN		GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN		SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN			GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	GABATRANSAM-RXN;SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN
PWY-5048	2/10	2/10	2/10	2/10	2/10	2/10	1/10	2/10	1/10	2/10	2/10	2/10	2/10	2/10	1/10	2/10	1/10	1/10	1/10		2/10	1/10	1/10	2/10	1/10	2/10	2/10	2/10	2/10	2/10	1/10	2/10	2/10	1/10	2/10	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN		TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN;4-COUMARATE--COA-LIGASE-RXN
PWY-8088	1/4	2/4	2/4	2/4	2/4	2/4	3/4	2/4	2/4	1/4	2/4	2/4	3/4	2/4	2/4	1/4	3/4	3/4		2/4	1/4	3/4	3/4	3/4	1/4	3/4	2/4	2/4	3/4	3/4	2/4	1/4	2/4	2/4	3/4	ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN		DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATEKIN-RXN	DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN
PWY-8188	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3		2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	1/3	1/3		2/3	2/3	2/3	3/3	2/3	1/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	2/3	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN		ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN	DLACTDEHYDROGNAD-RXN		ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	PWY-5494;ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN	ALANINE-AMINOTRANSFERASE-RXN;DLACTDEHYDROGNAD-RXN
PWY-8225	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3		1/3	1/3		1/3	1/3	1/3	1/3	2/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN		GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN		GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN;RXN-8953	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN	GDPMANDEHYDRA-RXN
