metabolite	Desmarestia_herbacea_m_rxn_consume	Porterinema_fluviatile_rxn_consume	Ectocarpus_siliculosus_m_rxn_consume	Dictyota_dichotoma_m_rxn_consume	Chordaria_linearis_rxn_consume	Thalassiosira_pseudonana_rxn_consume	Ectocarpus_crouaniorum_m_rxn_consume	Pleurocladia_lacustris_rxn_consume	Ectocarpus_fasciculatus_m_rxn_consume	Fragilariopsis_cylindrus_rxn_consume	Phaeodactylum_tricornutum_rxn_consume	Schizocladia_ischiensis_rxn_consume	Fucus_serratus_MALE_rxn_consume	Fistulifera_solaris_rxn_consume	Saccharina_latissima_FEMALE_rxn_consume	Nannochloropsis_gaditana_rxn_consume	Scytosiphon_promiscuus_MALE_rxn_consume	Desmarestia_herbacea_m_rxn_produce	Porterinema_fluviatile_rxn_produce	Ectocarpus_siliculosus_m_rxn_produce	Dictyota_dichotoma_m_rxn_produce	Chordaria_linearis_rxn_produce	Thalassiosira_pseudonana_rxn_produce	Ectocarpus_crouaniorum_m_rxn_produce	Pleurocladia_lacustris_rxn_produce	Ectocarpus_fasciculatus_m_rxn_produce	Fragilariopsis_cylindrus_rxn_produce	Phaeodactylum_tricornutum_rxn_produce	Schizocladia_ischiensis_rxn_produce	Fucus_serratus_MALE_rxn_produce	Fistulifera_solaris_rxn_produce	Saccharina_latissima_FEMALE_rxn_produce	Nannochloropsis_gaditana_rxn_produce	Scytosiphon_promiscuus_MALE_rxn_produce
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN	SAICARSYN-RXN;AIRCARBOXY-RXN																	
TYR-tRNAs	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	RXN-19727	RXN-19727		RXN-19727	RXN-19727		RXN-19727	RXN-19727	RXN-19727			RXN-19727	RXN-19727		RXN-19727		RXN-19727
CPD-21340	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-9204;RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-9204;RXN-2761;2.5.1.39-RXN	RXN-9204;RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-9204;RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN	RXN-2761;2.5.1.39-RXN																	
LL-DIAMINOPIMELATE	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737	RXN-7737	DIAMINOPIMEPIM-RXN;RXN-7737																	
cis-21-CP-39-keto-40-Me-C60-ACPs																		RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641	RXN1G-3641
CPD-15190																		RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291	RXN-14291
CPD-24255	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257	RXN-22257		RXN-22257																	
L-Fucopyranoses	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN		FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	FUCOKINASE-RXN	RXN-19379;RXN-19378;ALPHA-L-FUCOSIDASE-RXN;RXN-21816;RXN197R-54;RXN-14813												RXN-19379;RXN-19378;ALPHA-L-FUCOSIDASE-RXN;RXN-21816;RXN197R-54;RXN-14813				
5-Phospho-terminated-DNAs	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	DNA-LIGASE-ATP-RXN;RXN-17918;DNA-LIGASE-NAD+-RXN	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-21266	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	4.2.99.18-RXN;3.2.2.23-RXN;RXN-18435;RXN-21266	4.2.99.18-RXN;3.2.2.23-RXN;RXN-18435;RXN-21266	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915	4.2.99.18-RXN;RXN-21350	4.2.99.18-RXN;3.2.2.23-RXN;RXN-18435;RXN-21266	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-21266	3.2.2.23-RXN;4.2.99.18-RXN;RXN-21350;RXN-18435;RXN-17913;RXN-21266;RXN-17915
S-ubiquitinyl-UCP-E2-L-cysteine	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559	RXN-15561;RXN-15559	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15561;RXN-15559	RXN-15561;RXN-15559;RXN-19353;RXN-19355	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556	RXN-15556
Alpha-D-aldose-1-phosphates																		ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN	ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN	ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN	ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN	ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN		ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN	ADPSUGPPHOSPHAT-RXN	ADPSUGPPHOSPHAT-RXN			ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN	ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN		ADPSUGPPHOSPHAT-RXN		ADPSUGPPHOSPHAT-RXN;UDPSUGARHYDRO-RXN
PANTOTHENATE	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-RXN
ENOL-PHENYLPYRUVATE																		PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN
CPD-400																		RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60	RXN18C3-60		RXN18C3-60
beta-Gal-13-alpha-GalNac-R	2.4.99.3-RXN	2.4.99.3-RXN	2.4.99.3-RXN	2.4.99.3-RXN	2.4.99.3-RXN		2.4.99.3-RXN	2.4.99.3-RXN	2.4.99.3-RXN			2.4.99.3-RXN	2.4.99.3-RXN				2.4.99.3-RXN	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266	RXN-18266
NICOTINATE_NUCLEOTIDE	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-19300;NICONUCADENYLYLTRAN-RXN;RXN-19316;RXN-19306;RXN-19299;RXN-19298;RXN-14227;DMBPPRIBOSYLTRANS-RXN;RXN-19301;RXN-19295	RXN-19300;NICONUCADENYLYLTRAN-RXN;RXN-19316;RXN-19306;RXN-19299;RXN-19298;RXN-14227;DMBPPRIBOSYLTRANS-RXN;RXN-19301;RXN-19295	RXN-19300;NICONUCADENYLYLTRAN-RXN;RXN-19316;RXN-19306;RXN-19299;RXN-19298;RXN-14227;DMBPPRIBOSYLTRANS-RXN;RXN-19301;RXN-19295	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-14227;NICONUCADENYLYLTRAN-RXN	RXN-19300;NICONUCADENYLYLTRAN-RXN;RXN-19316;RXN-19306;RXN-19299;RXN-19298;RXN-14227;DMBPPRIBOSYLTRANS-RXN;RXN-19301;RXN-19295	RXN-14227;NICONUCADENYLYLTRAN-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN	QUINOPRIBOTRANS-RXN;NICOTINATEPRIBOSYLTRANS-RXN
CPD-8563																		2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN	2.7.11.18-RXN
CPD-11875																		RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906	RXN-10906		RXN-10906
Single-Stranded-DNAs	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN-20059;RXN0-5021;3.1.21.2-RXN	RXN0-5021;RXN-20059	RXN0-5021;RXN-20059	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261	RXN-11135;RXN0-4261
CPD0-1812	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15090;RXN-19427	RXN-15088;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427	RXN-15088;RXN-15090;RXN-19427	RXN-15088;RXN-15091;RXN-15090;RXN-19427																	
1-Acyl-2-Arachidonoyl-PI-4P	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20527	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526	RXN-20526
CPD-7005	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-17428;RXN-7664	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663	RXN-7663
N-methyl-terminal-XPK	RXN-12890		RXN-12890	RXN-12890	RXN-12890		RXN-12890	RXN-12890	RXN-12890				RXN-12890		RXN-12890		RXN-12890	RXN-12889		RXN-12889	RXN-12889	RXN-12889		RXN-12889	RXN-12889	RXN-12889				RXN-12889		RXN-12889		RXN-12889
Charged-VAL-tRNAs																		VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN	VALINE--TRNA-LIGASE-RXN
Palmitoyl-proteins	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN			3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN	3.1.2.22-RXN			3.1.2.22-RXN																	
1-4-D-xylooligosaccharides	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN		3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN		3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.37-RXN	3.2.1.8-RXN	3.2.1.8-RXN	3.2.1.8-RXN	3.2.1.8-RXN			3.2.1.8-RXN	3.2.1.8-RXN	3.2.1.8-RXN			3.2.1.8-RXN	3.2.1.8-RXN		3.2.1.8-RXN		3.2.1.8-RXN
23S-rRNA-2-O-methyluridine2552																		RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845	RXN-11845
Semiquinones																		QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN	QOR-RXN
PROPIONYL-P																		PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN		PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN			PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN		PROPKIN-RXN
