original_gene_id	renamed_gene_id
mRNA_D-herbacea_M_contig1.154.1	c_organisms_00307
prot_D-herbacea_M_contig1.154.1	c_organisms_00308
mRNA_D-herbacea_M_contig1.155.1	c_organisms_00309
prot_D-herbacea_M_contig1.155.1	c_organisms_00310
mRNA_D-herbacea_M_contig1.156.1	c_organisms_00311
prot_D-herbacea_M_contig1.156.1	c_organisms_00312
mRNA_D-herbacea_M_contig1.157.1	c_organisms_00313
prot_D-herbacea_M_contig1.157.1	c_organisms_00314
mRNA_D-herbacea_M_contig1.158.1	c_organisms_00315
prot_D-herbacea_M_contig1.158.1	c_organisms_00316
mRNA_D-herbacea_M_contig1.159.1	c_organisms_00317
prot_D-herbacea_M_contig1.159.1	c_organisms_00318
mRNA_D-herbacea_M_contig1.160.1	c_organisms_00319
prot_D-herbacea_M_contig1.160.1	c_organisms_00320
mRNA_D-herbacea_M_contig1.161.1	c_organisms_00321
prot_D-herbacea_M_contig1.161.1	c_organisms_00322
mRNA_D-herbacea_M_contig1.162.1	c_organisms_00323
prot_D-herbacea_M_contig1.162.1	c_organisms_00324
mRNA_D-herbacea_M_contig1.163.1	c_organisms_00325
prot_D-herbacea_M_contig1.163.1	c_organisms_00326
mRNA_D-herbacea_M_contig1.164.1	c_organisms_00327
prot_D-herbacea_M_contig1.164.1	c_organisms_00328
mRNA_D-herbacea_M_contig1.165.1	c_organisms_00329
prot_D-herbacea_M_contig1.165.1	c_organisms_00330
mRNA_D-herbacea_M_contig1.166.1	c_organisms_00331
prot_D-herbacea_M_contig1.166.1	c_organisms_00332
mRNA_D-herbacea_M_contig1.167.1	c_organisms_00333
prot_D-herbacea_M_contig1.167.1	c_organisms_00334
mRNA_D-herbacea_M_contig1.168.1	c_organisms_00335
prot_D-herbacea_M_contig1.168.1	c_organisms_00336
mRNA_D-herbacea_M_contig1.169.1	c_organisms_00337
prot_D-herbacea_M_contig1.169.1	c_organisms_00338
mRNA_D-herbacea_M_contig1.170.1	c_organisms_00339
prot_D-herbacea_M_contig1.170.1	c_organisms_00340
mRNA_D-herbacea_M_contig1.171.1	c_organisms_00341
prot_D-herbacea_M_contig1.171.1	c_organisms_00342
mRNA_D-herbacea_M_contig1.172.1	c_organisms_00343
prot_D-herbacea_M_contig1.172.1	c_organisms_00344
mRNA_D-herbacea_M_contig1.173.1	c_organisms_00345
prot_D-herbacea_M_contig1.173.1	c_organisms_00346
mRNA_D-herbacea_M_contig1.174.1	c_organisms_00347
prot_D-herbacea_M_contig1.174.1	c_organisms_00348
mRNA_D-herbacea_M_contig1.175.1	c_organisms_00349
prot_D-herbacea_M_contig1.175.1	c_organisms_00350
mRNA_D-herbacea_M_contig1.176.1	c_organisms_00351
prot_D-herbacea_M_contig1.176.1	c_organisms_00352
mRNA_D-herbacea_M_contig1.177.1	c_organisms_00353
prot_D-herbacea_M_contig1.177.1	c_organisms_00354
mRNA_D-herbacea_M_contig1.178.1	c_organisms_00355
prot_D-herbacea_M_contig1.178.1	c_organisms_00356
mRNA_D-herbacea_M_contig1.179.1	c_organisms_00357
prot_D-herbacea_M_contig1.179.1	c_organisms_00358
mRNA_D-herbacea_M_contig1.180.1	c_organisms_00359
prot_D-herbacea_M_contig1.180.1	c_organisms_00360
mRNA_D-herbacea_M_contig1.181.1	c_organisms_00361
prot_D-herbacea_M_contig1.181.1	c_organisms_00362
mRNA_D-herbacea_M_contig1.182.1	c_organisms_00363
prot_D-herbacea_M_contig1.182.1	c_organisms_00364
mRNA_D-herbacea_M_contig1.183.1	c_organisms_00365
prot_D-herbacea_M_contig1.183.1	c_organisms_00366
mRNA_D-herbacea_M_contig1.184.1	c_organisms_00367
prot_D-herbacea_M_contig1.184.1	c_organisms_00368
mRNA_D-herbacea_M_contig1.185.1	c_organisms_00369
prot_D-herbacea_M_contig1.185.1	c_organisms_00370
mRNA_D-herbacea_M_contig1.186.1	c_organisms_00371
prot_D-herbacea_M_contig1.186.1	c_organisms_00372
mRNA_D-herbacea_M_contig1.187.1	c_organisms_00373
prot_D-herbacea_M_contig1.187.1	c_organisms_00374
mRNA_D-herbacea_M_contig1.188.1	c_organisms_00375
prot_D-herbacea_M_contig1.188.1	c_organisms_00376
mRNA_D-herbacea_M_contig1.189.1	c_organisms_00377
prot_D-herbacea_M_contig1.189.1	c_organisms_00378
mRNA_D-herbacea_M_contig1.190.1	c_organisms_00379
prot_D-herbacea_M_contig1.190.1	c_organisms_00380
mRNA_D-herbacea_M_contig1.191.1	c_organisms_00381
prot_D-herbacea_M_contig1.191.1	c_organisms_00382
mRNA_D-herbacea_M_contig1.192.1	c_organisms_00383
prot_D-herbacea_M_contig1.192.1	c_organisms_00384
mRNA_D-herbacea_M_contig1.193.1	c_organisms_00385
prot_D-herbacea_M_contig1.193.1	c_organisms_00386
mRNA_D-herbacea_M_contig1.194.1	c_organisms_00387
prot_D-herbacea_M_contig1.194.1	c_organisms_00388
mRNA_D-herbacea_M_contig1.195.1	c_organisms_00389
prot_D-herbacea_M_contig1.195.1	c_organisms_00390
mRNA_D-herbacea_M_contig1.196.1	c_organisms_00391
prot_D-herbacea_M_contig1.196.1	c_organisms_00392
mRNA_D-herbacea_M_contig1.197.1	c_organisms_00393
prot_D-herbacea_M_contig1.197.1	c_organisms_00394
mRNA_D-herbacea_M_contig1.198.1	c_organisms_00395
prot_D-herbacea_M_contig1.198.1	c_organisms_00396
mRNA_D-herbacea_M_contig1.199.1	c_organisms_00397
prot_D-herbacea_M_contig1.199.1	c_organisms_00398
mRNA_D-herbacea_M_contig1.200.1	c_organisms_00399
prot_D-herbacea_M_contig1.200.1	c_organisms_00400
mRNA_D-herbacea_M_contig1.201.1	c_organisms_00401
prot_D-herbacea_M_contig1.201.1	c_organisms_00402
mRNA_D-herbacea_M_contig1.202.1	c_organisms_00403
prot_D-herbacea_M_contig1.202.1	c_organisms_00404
mRNA_D-herbacea_M_contig1.203.1	c_organisms_00405
prot_D-herbacea_M_contig1.203.1	c_organisms_00406
mRNA_D-herbacea_M_contig1.204.1	c_organisms_00407
prot_D-herbacea_M_contig1.204.1	c_organisms_00408
mRNA_D-herbacea_M_contig1.205.1	c_organisms_00409
prot_D-herbacea_M_contig1.205.1	c_organisms_00410
mRNA_D-herbacea_M_contig1.206.1	c_organisms_00411
prot_D-herbacea_M_contig1.206.1	c_organisms_00412
mRNA_D-herbacea_M_contig1.207.1	c_organisms_00413
prot_D-herbacea_M_contig1.207.1	c_organisms_00414
mRNA_D-herbacea_M_contig1.208.1	c_organisms_00415
prot_D-herbacea_M_contig1.208.1	c_organisms_00416
mRNA_D-herbacea_M_contig1.209.1	c_organisms_00417
prot_D-herbacea_M_contig1.209.1	c_organisms_00418
mRNA_D-herbacea_M_contig1.210.1	c_organisms_00419
prot_D-herbacea_M_contig1.210.1	c_organisms_00420
mRNA_D-herbacea_M_contig1.211.1	c_organisms_00421
prot_D-herbacea_M_contig1.211.1	c_organisms_00422
mRNA_D-herbacea_M_contig1.212.1	c_organisms_00423
prot_D-herbacea_M_contig1.212.1	c_organisms_00424
mRNA_D-herbacea_M_contig1.213.1	c_organisms_00425
prot_D-herbacea_M_contig1.213.1	c_organisms_00426
mRNA_D-herbacea_M_contig1.214.1	c_organisms_00427
prot_D-herbacea_M_contig1.214.1	c_organisms_00428
mRNA_D-herbacea_M_contig1.215.1	c_organisms_00429
prot_D-herbacea_M_contig1.215.1	c_organisms_00430
mRNA_D-herbacea_M_contig1.216.1	c_organisms_00431
prot_D-herbacea_M_contig1.216.1	c_organisms_00432
mRNA_D-herbacea_M_contig1.217.1	c_organisms_00433
prot_D-herbacea_M_contig1.217.1	c_organisms_00434
mRNA_D-herbacea_M_contig1.218.1	c_organisms_00435
prot_D-herbacea_M_contig1.218.1	c_organisms_00436
mRNA_D-herbacea_M_contig1.219.1	c_organisms_00437
prot_D-herbacea_M_contig1.219.1	c_organisms_00438
mRNA_D-herbacea_M_contig1.220.1	c_organisms_00439
prot_D-herbacea_M_contig1.220.1	c_organisms_00440
mRNA_D-herbacea_M_contig1.221.1	c_organisms_00441
prot_D-herbacea_M_contig1.221.1	c_organisms_00442
mRNA_D-herbacea_M_contig1.222.1	c_organisms_00443
prot_D-herbacea_M_contig1.222.1	c_organisms_00444
mRNA_D-herbacea_M_contig1.223.1	c_organisms_00445
prot_D-herbacea_M_contig1.223.1	c_organisms_00446
mRNA_D-herbacea_M_contig1.224.1	c_organisms_00447
prot_D-herbacea_M_contig1.224.1	c_organisms_00448
mRNA_D-herbacea_M_contig1.225.1	c_organisms_00449
prot_D-herbacea_M_contig1.225.1	c_organisms_00450
mRNA_D-herbacea_M_contig1.226.1	c_organisms_00451
prot_D-herbacea_M_contig1.226.1	c_organisms_00452
mRNA_D-herbacea_M_contig1.227.1	c_organisms_00453
prot_D-herbacea_M_contig1.227.1	c_organisms_00454
mRNA_D-herbacea_M_contig1.228.1	c_organisms_00455
prot_D-herbacea_M_contig1.228.1	c_organisms_00456
mRNA_D-herbacea_M_contig1.229.1	c_organisms_00457
prot_D-herbacea_M_contig1.229.1	c_organisms_00458
mRNA_D-herbacea_M_contig1.230.1	c_organisms_00459
prot_D-herbacea_M_contig1.230.1	c_organisms_00460
mRNA_D-herbacea_M_contig1.231.1	c_organisms_00461
prot_D-herbacea_M_contig1.231.1	c_organisms_00462
mRNA_D-herbacea_M_contig1.232.1	c_organisms_00463
prot_D-herbacea_M_contig1.232.1	c_organisms_00464
